Model loaded in 0.2486886978149414 seconds
data num: 1000000
Encoded trajectory loaded, time: 81.11007499694824
data num: 1000
Encoded trajectory loaded, time: 0.12673735618591309
Data loaded in 81.33220791816711 seconds
start training from iteration 0
Iteration 12000     |  Loss: 0.77240324  |  Test Loss: 0.76914459  |  Test Acc: 66.02%   |  Error Rate: 8.30%    |  Real True Rate: 25.80%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 117.91%  |  Length 110% rate: 39.26%   |
Iteration 12500     |  Loss: 0.98230147  |  Test Loss: 0.92709744  |  Test Acc: 62.86%   |  Error Rate: 29.70%   |  Real True Rate: 17.10%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 119.64%  |  Length 110% rate: 37.41%   |
Iteration 13000     |  Loss: 0.81526136  |  Test Loss: 0.80173755  |  Test Acc: 65.22%   |  Error Rate: 15.10%   |  Real True Rate: 24.10%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.01%  |  Length 110% rate: 40.28%   |
Iteration 13500     |  Loss: 0.80830425  |  Test Loss: 0.78979063  |  Test Acc: 65.07%   |  Error Rate: 10.20%   |  Real True Rate: 24.70%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.02%  |  Length 110% rate: 39.31%   |
Iteration 14000     |  Loss: 0.79382199  |  Test Loss: 0.78087145  |  Test Acc: 65.69%   |  Error Rate: 14.60%   |  Real True Rate: 25.10%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 117.38%  |  Length 110% rate: 39.93%   |
Iteration 14500     |  Loss: 0.77920890  |  Test Loss: 0.78285176  |  Test Acc: 65.34%   |  Error Rate: 11.30%   |  Real True Rate: 24.10%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 117.55%  |  Length 110% rate: 40.02%   |
Iteration 15000     |  Loss: 0.77583402  |  Test Loss: 0.77777040  |  Test Acc: 65.83%   |  Error Rate: 8.10%    |  Real True Rate: 24.40%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.15%  |  Length 110% rate: 37.54%   |
Iteration 15500     |  Loss: 0.74318045  |  Test Loss: 0.77697027  |  Test Acc: 65.27%   |  Error Rate: 11.40%   |  Real True Rate: 25.20%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.03%  |  Length 110% rate: 40.41%   |
Iteration 16000     |  Loss: 0.80647177  |  Test Loss: 0.77382696  |  Test Acc: 66.20%   |  Error Rate: 8.30%    |  Real True Rate: 24.00%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.47%  |  Length 110% rate: 39.04%   |
Iteration 16500     |  Loss: 0.77861190  |  Test Loss: 0.76452142  |  Test Acc: 66.31%   |  Error Rate: 6.40%    |  Real True Rate: 24.50%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 117.84%  |  Length 110% rate: 38.46%   |
Iteration 17000     |  Loss: 0.77617353  |  Test Loss: 0.76954883  |  Test Acc: 65.57%   |  Error Rate: 7.60%    |  Real True Rate: 24.30%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 117.76%  |  Length 110% rate: 39.61%   |
Iteration 17500     |  Loss: 0.77559108  |  Test Loss: 0.76828581  |  Test Acc: 65.84%   |  Error Rate: 8.30%    |  Real True Rate: 25.30%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.32%  |  Length 110% rate: 38.82%   |
